,Unnamed: 0,Job Title,Location,Salary From,Salary To,Python,Java,C++,SQL,Javascript,linux,Average Salary
1340,1340.0,Artificial Intelligence,MA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1341,1341.0,Principal Data Engineer,MA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1342,1342.0,Senior Data Scientist,MA,120000.0,150000.0,1.0,0.0,0.0,1.0,0.0,0.0,150000.0
1343,1343.0,"Data Scientist, Crypto Investment Firm",MA,140000.0,170000.0,1.0,0.0,0.0,1.0,0.0,0.0,170000.0
1344,1344.0,Financial Content Analyst,MA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1345,1345.0,Artificial Intelligence Business Development Leader - SFL Scientific,MA,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1346,1346.0,Senior Data Scientist (Lead),MA,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1347,1347.0,Associate Director Statistical Programming,MA,152565.0,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1348,1348.0,USARIEM Injury and Performance Epidemiology Data Technician/Analyst Fellowship,MA,110317.90318416523,165887.75455820476,0.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1349,1349.0,"Director, Data Science - REMOTE",IA,132000.0,172000.0,0.0,0.0,0.0,0.0,0.0,0.0,172000.0
1350,1350.0,Principal Data Engineer Architect IS REMOTE,AK,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1351,1351.0,Data Engineer,CA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1352,1352.0,Data Scientist,CA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1353,1353.0,Data Analyst,CA,70.0,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1354,1354.0,"Investigations and Insights, Data Scientist (IO) - USDS",CA,144000.0,312444.0,1.0,0.0,0.0,1.0,0.0,0.0,312444.0
1355,1355.0,Data Scientist,CA,99187.0,148780.0,1.0,0.0,0.0,1.0,0.0,0.0,148780.0
1356,1356.0,Senior Data Scientist,CA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1357,1357.0,"VP, Data",CA,260000.0,340000.0,1.0,0.0,0.0,1.0,0.0,0.0,340000.0
1358,1358.0,"Data Scientist, Product Analytics - Machine Learning",CA,165000.0,232000.0,1.0,0.0,0.0,1.0,0.0,0.0,232000.0
1359,1359.0,Software Engineer - Data Scientist,CA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1360,1360.0,Data Science Project Manager,CA,93300.0,212000.0,1.0,0.0,0.0,1.0,0.0,0.0,212000.0
1361,1361.0,Senior/ Staff Data Scientist - Perception Verification & Validation,CA,210000.0,300000.0,1.0,0.0,0.0,1.0,0.0,0.0,300000.0
1362,1362.0,Senior Data Scientist,CA,120000.0,150000.0,1.0,0.0,0.0,1.0,0.0,0.0,150000.0
1363,1363.0,Mathematical Statistician or Statistician (Data Scientist) Direct Hire 6 Month Register,CA,98496.0,158432.0,1.0,1.0,0.0,1.0,0.0,0.0,158432.0
1364,1364.0,"Sr. Data Engineer, Premium Analytics - Juniper AIDE",CA,159200.0,228850.0,0.0,0.0,0.0,1.0,0.0,0.0,228850.0
1365,1365.0,Lead Data Scientist,CA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1366,1366.0,Senior Technical Data Analyst,CA,116500.0,164600.0,1.0,0.0,0.0,1.0,0.0,0.0,164600.0
1367,1367.0,Data Engineer & Analyst,IN,80000.0,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1368,1368.0,Data Analyst,AR,110317.90318416523,165887.75455820476,0.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1369,1369.0,Senior Data Scientist-Retail Intelligence,AR,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1370,1370.0,Data Analyst/Healthcare (remote),MD,85000.0,90000.0,0.0,0.0,0.0,1.0,0.0,0.0,90000.0
1371,1371.0,Data Scientist,VA,93300.0,212000.0,1.0,1.0,0.0,1.0,0.0,0.0,212000.0
1372,1372.0,Data Engineer,VA,110317.90318416523,165887.75455820476,1.0,1.0,1.0,1.0,0.0,1.0,165887.75455820476
1373,1373.0,Data Scientist,VA,73100.0,166000.0,1.0,0.0,0.0,1.0,0.0,0.0,166000.0
1374,1374.0,Quantum Research Data Scientist,WA,65300.0,149000.0,1.0,0.0,0.0,0.0,0.0,0.0,149000.0
1375,1375.0,Opportunity in Machine Learning and Data Science for Buildings,WA,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1376,1376.0,"Data Scientist, Mid",VA,110317.90318416523,165887.75455820476,1.0,1.0,0.0,1.0,1.0,0.0,165887.75455820476
1377,1377.0,Data Engineer,VA,125000.0,170000.0,1.0,0.0,0.0,1.0,0.0,1.0,170000.0
1378,1378.0,Junior Data Scientist,VA,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1379,1379.0,Data Scientist - Clearance Required,WA,110317.90318416523,165887.75455820476,1.0,0.0,1.0,0.0,0.0,0.0,165887.75455820476
1380,1380.0,Data Scientist (All Levels),VA,72800.0,169600.0,1.0,0.0,0.0,1.0,0.0,0.0,169600.0
1381,1381.0,Support Scientist - Earth System Model Regional Physics & Data Assimilation Development,MD,75000.0,145000.0,1.0,0.0,0.0,0.0,0.0,0.0,145000.0
