,Job Title,Location,Salary From,Salary To,Python,Java,C++,SQL,Javascript,linux
86,Data Scientist,PA,100000.0,140000.0,1,0,0,1,0,0
87,Machine Learning Engineer,PA,,,1,0,0,1,0,0
88,IT Business Analyst 2,PA,,,0,0,0,0,0,0
89,Data Engineer Senior Consultant (Clearance Required),PA,,,0,0,0,1,0,0
90,Senior Data Scientist,PA,,,1,0,0,1,0,0
91,Data Review Associate Scientist: Extractables and Leachables,PA,,,0,0,0,0,0,0
92,"Senior Data Scientist, Machine Learning and Artificial Intelligence",PA,,,1,1,0,1,1,0
93,Data Scientist II,CO,85000.0,92000.0,1,0,0,1,0,0
94,Business Intelligence Analyst,CO,66700.0,100100.0,0,0,0,1,0,0
95,OPIR Mission Performance Analyst,CO,281070.0,185015.0,1,0,1,0,0,1
96,Senior Reporting Analyst,CO,109300.0,120000.0,1,0,0,1,0,0
97,"UI/UX Developer- Colorado Springs, CO",CO,100000.0,135000.0,1,1,0,1,1,1
98,Senior Data Scientist - Product Pricing (Remote - Home Based Worker),IL,108000.0,150000.0,0,0,0,0,0,0
99,Data Analyst Chicago Hybrid,IL,,,1,0,0,0,0,0
100,Sr. Data Analyst,IL,100000.0,150000.0,1,0,0,1,0,0
101,"Data Science, Sr. Specialist",IL,,,0,0,0,0,0,0
102,Senior Data Science Product Owner (Hybrid),IL,,,0,0,0,1,0,0
103,Senior Manager Data Scientist,IL,,,1,0,0,1,0,0
104,Advanced Data Analyst,IL,,,0,0,0,1,0,0
105,Data Science Program Lead I (hybrid),IL,,,0,0,0,0,0,0
106,Senior Associate Application Engineer (Full Stack),IL,,,1,1,0,0,0,0
107,"Manager, Experience Management",IL,78200.0,115000.0,0,0,0,0,0,0
108,AI Engineer/Data Scientist,MN,130000.0,160000.0,1,1,1,1,0,1
109,Scientific Programmer/Data Scientist,MN,,,1,0,0,1,0,0
110,"Sr. Data Analyst, CRM Marketing",MN,89300.0,127200.0,0,0,0,1,0,0
111,"Senior Backend Engineer, AI",NE,150000.0,190000.0,0,0,0,0,0,0
112,Data Scientist,OH,,,1,0,0,0,0,0
113,Senior Backend Engineer (AI Startup),OH,120000.0,180000.0,0,0,0,0,0,0
114,Data Software Engineer III,OH,,,0,0,0,1,0,0
115,Lead Analyst -Bioinformatics,OH,,,0,0,0,0,0,0
116,Configuration Data Manager,OH,,,0,0,0,0,0,0
117,IT Data Architect & Data Analyst,SC,77513.0,122822.0,0,0,0,0,0,0
118,Data Scientist,WV,,,0,0,0,0,0,0
119,Business Data Analyst,GA,61000.0,85000.0,1,0,0,1,0,0
120,Data Center Engineer,GA,,,0,0,0,0,0,1
121,Big Data Software Engineer III,GA,,,0,0,0,0,0,0
122,ARCAID AI/ML Student Assistant – Fall 2023-ICL,GA,,,0,0,0,0,0,1
123,Senior Azure Data Engineer,GA,,,0,0,0,0,0,0
124,Principal - Data Engineering,GA,,,1,1,1,1,0,0
125,Data Analyst/Engineer - Data Analyst III - TOP SECRET DOD Clearance Required,AL,70000.0,85000.0,1,1,1,1,1,1
126,Data Scientist,HI,58300.0,133000.0,1,0,0,0,0,0
127,"Research Statistician II - Honolulu, O`ahu",HI,,,0,0,0,0,0,0
128,Data Analyst III (REMOTE),NC,,,1,0,0,1,0,0
129,Data Scientist – NLP and Machine Learning,NC,,,0,0,0,0,0,0
130,Senior Data Engineer,NC,,,1,0,0,1,0,0
131,GIS Utility Management Analyst,NC,,,0,0,0,0,0,0
