,Unnamed: 0,Job Title,Location,Salary From,Salary To,Python,Java,C++,SQL,Javascript,linux
64,64,Software Engineer Level 2 (SWE2)-7343,MD,84155.8475710177,115327.37881224224,1,1,0,1,0,1
65,65,Full Stack AI Software Developer,MD,101137.0932899586,134910.27422000325,1,1,1,1,0,0
66,66,Exploitation Analyst Level 4,MD,153208.96959351766,24864.24321823807,0,0,0,0,0,0
67,67,Senior Lead Marketing Analyst,MD,130840.52332009183,301.72603850113956,1,0,0,0,0,0
68,68,Data Analyst III (REMOTE),WY,86424.9793469732,73314.66711475677,1,0,0,1,0,0
69,69,Data Scientist,NY,111057.42512497741,126393.9606098725,0,0,0,1,0,0
70,70,Data Science Analyst I- Environmental Medicine & Public Health,NY,72473.0,108709.0,1,0,0,0,0,1
71,71,Senior Data Scientist I,NY,77019.0,92019.0,1,0,0,1,0,0
72,72,"Manager, Data Science",NY,154000.0,164000.0,1,0,0,0,0,0
73,73,"Data Scientist, Decision Support",NY,68741.9632266754,84621.61831282455,1,0,0,0,0,0
74,74,Global Rotational Graduate - Associate Data Engineer,NY,121031.67880638223,33848.06886747062,0,0,0,0,0,0
75,75,Director HR Data Science,NY,117785.0,154593.0,1,0,0,1,0,0
76,76,Mid-Level Investigator/Due Diligence Analyst with Language Skills,NY,44962.96920146862,14.737834581464995,0,0,0,0,0,0
77,77,Senior Data Engineer,NY,140000.0,225000.0,1,0,1,1,0,0
78,78,Vice President / Quantitative Finance Analyst,NY,145281.19596303353,30965.204087898943,1,0,1,0,0,0
79,79,Staff Product Manager,NY,133700.0,245100.0,0,0,0,0,0,0
80,80,Lead Big Data Engineer,NY,82600.0,230200.0,1,0,0,0,0,0
81,81,Machine Learning Engineer,NY,85769.42488149888,123494.45400202682,1,0,0,0,0,0
82,82,Machine Learning Engineer - Lab of Ornithology,NY,84800.0,98552.0,1,1,0,1,1,1
83,83,"Analytics Engineer, Investor Vertical",NY,230967.8615522848,-22460.969320491415,1,0,0,1,0,0
84,84,Biostatistician I,WI,124574.19072720707,61946.38239626522,0,0,0,0,0,0
85,85,Statistician,NM,3165.0,4423.0,0,0,0,0,0,0
86,86,Data Scientist,PA,100000.0,140000.0,1,0,0,1,0,0
87,87,Machine Learning Engineer,PA,125374.5179037605,50332.36359977419,1,0,0,1,0,0
88,88,IT Business Analyst 2,PA,168291.2705522659,21928.421399353385,0,0,0,0,0,0
89,89,Data Engineer Senior Consultant (Clearance Required),PA,71307.69754957754,107612.69211702084,0,0,0,1,0,0
90,90,Senior Data Scientist,PA,187801.93677533025,-34268.80903106488,1,0,0,1,0,0
91,91,Data Review Associate Scientist: Extractables and Leachables,PA,126265.33949488154,-25395.84056194705,0,0,0,0,0,0
92,92,"Senior Data Scientist, Machine Learning and Artificial Intelligence",PA,144701.7479683283,-58358.65472965057,1,1,0,1,1,0
93,93,Data Scientist II,CO,85000.0,92000.0,1,0,0,1,0,0
94,94,Business Intelligence Analyst,CO,66700.0,100100.0,0,0,0,1,0,0
95,95,OPIR Mission Performance Analyst,CO,281070.0,185015.0,1,0,1,0,0,1
96,96,Senior Reporting Analyst,CO,109300.0,120000.0,1,0,0,1,0,0
97,97,"UI/UX Developer- Colorado Springs, CO",CO,100000.0,135000.0,1,1,0,1,1,1
98,98,Senior Data Scientist - Product Pricing (Remote - Home Based Worker),IL,108000.0,150000.0,0,0,0,0,0,0
99,99,Data Analyst Chicago Hybrid,IL,148825.01053197804,44437.13825030654,1,0,0,0,0,0
100,100,Sr. Data Analyst,IL,100000.0,150000.0,1,0,0,1,0,0
101,101,"Data Science, Sr. Specialist",IL,35126.131080920924,66524.96438434374,0,0,0,0,0,0
102,102,Senior Data Science Product Owner (Hybrid),IL,105110.98633345192,39541.63141439676,0,0,0,1,0,0
103,103,Senior Manager Data Scientist,IL,150767.7295681226,140657.36944692998,1,0,0,1,0,0
104,104,Advanced Data Analyst,IL,159195.44373213596,15616.5727703136,0,0,0,1,0,0
105,105,Data Science Program Lead I (hybrid),IL,150690.02428945227,-6971.8056350666375,0,0,0,0,0,0
106,106,Senior Associate Application Engineer (Full Stack),IL,115510.8656219595,185488.8430468549,1,1,0,0,0,0
107,107,"Manager, Experience Management",IL,78200.0,115000.0,0,0,0,0,0,0
108,108,AI Engineer/Data Scientist,MN,130000.0,160000.0,1,1,1,1,0,1
109,109,Scientific Programmer/Data Scientist,MN,148937.13673828568,-15505.024079095478,1,0,0,1,0,0
110,110,"Sr. Data Analyst, CRM Marketing",MN,89300.0,127200.0,0,0,0,1,0,0
111,111,"Senior Backend Engineer, AI",NE,150000.0,190000.0,0,0,0,0,0,0
112,112,Data Scientist,OH,140389.9956055699,-23892.92818652023,1,0,0,0,0,0
113,113,Senior Backend Engineer (AI Startup),OH,120000.0,180000.0,0,0,0,0,0,0
114,114,Data Software Engineer III,OH,73445.86644527611,50099.523786787664,0,0,0,1,0,0
115,115,Lead Analyst -Bioinformatics,OH,145376.02375720718,-6380.340208224712,0,0,0,0,0,0
116,116,Configuration Data Manager,OH,171760.69926118146,62220.54617390198,0,0,0,0,0,0
117,117,IT Data Architect & Data Analyst,SC,77513.0,122822.0,0,0,0,0,0,0
118,118,Data Scientist,WV,71748.09770649843,20421.680821389527,0,0,0,0,0,0
119,119,Business Data Analyst,GA,61000.0,85000.0,1,0,0,1,0,0
120,120,Data Center Engineer,GA,178378.17513902235,168576.70434801842,0,0,0,0,0,1
121,121,Big Data Software Engineer III,GA,143337.11497796158,14005.929722983186,0,0,0,0,0,0
122,122,ARCAID AI/ML Student Assistant – Fall 2023-ICL,GA,132278.89808169616,24964.644613298624,0,0,0,0,0,1
123,123,Senior Azure Data Engineer,GA,35173.92772276845,42907.09614141304,0,0,0,0,0,0
124,124,Principal - Data Engineering,GA,95516.22293066993,-55442.392297434,1,1,1,1,0,0
125,125,Data Analyst/Engineer - Data Analyst III - TOP SECRET DOD Clearance Required,AL,70000.0,85000.0,1,1,1,1,1,1
126,126,Data Scientist,HI,58300.0,133000.0,1,0,0,0,0,0
127,127,"Research Statistician II - Honolulu, O`ahu",HI,127499.49544690168,77341.38050154415,0,0,0,0,0,0
128,128,Data Analyst III (REMOTE),NC,153163.2925568702,106559.57498122036,1,0,0,1,0,0
129,129,Data Scientist – NLP and Machine Learning,NC,65932.9411793594,100018.47598667388,0,0,0,0,0,0
130,130,Senior Data Engineer,NC,71361.78089017057,8120.221980184397,1,0,0,1,0,0
131,131,GIS Utility Management Analyst,NC,79427.98135415866,38742.66170653292,0,0,0,0,0,0
132,132,"Machine Learning Architect (Senior Consultant) - Deloitte Center for AI Computing | Businesses, Global and Strategic Services (BGS)",NC,175158.97106174997,93792.77652475587,0,0,0,0,0,0
133,133,Senior Data Scientist,NH,120000.0,150000.0,1,0,0,1,0,0
134,134,Senior Data Scientist,MI,120000.0,150000.0,1,0,0,1,0,0
135,135,"Engineering Specialist, Dimensional Controls",MI,173123.35172442568,81528.47244726011,0,0,0,0,0,0
136,136,Supply Chain Analytics Leader,MI,109784.83577903669,33100.14202225597,0,0,0,0,0,0
137,137,Senior Data Scientist,KY,115000.0,130000.0,1,0,0,1,0,0
138,138,"Postdoctoral Research Fellow, Observational Health Data Science and Informatics",ME,101489.26802565755,121683.03371488862,1,0,0,0,0,0
139,139,DATA SCIENTIST,NJ,91776.14977071564,94086.82706968277,0,0,0,0,0,0
140,140,Analytics Developer,NJ,105800.0412916535,56641.17707147538,1,0,0,1,0,0
141,141,"(Senior) Director, Head of Operations for Data Science & AI",NJ,137071.58161853658,61725.10571421637,0,0,0,0,0,0
142,142,Statistical Programmer II,NJ,142571.08983725676,122999.3627200519,0,1,0,0,0,0
143,143,Machine Learning Scientist I,NJ,170129.55643015122,139377.06773725504,1,0,0,0,0,0
144,144,Support Operations Engineer (6pm-2am EST coverage),NJ,46091.75510437632,119127.57383638149,0,0,0,0,0,1
145,145,"Big Data & Knowledge Management, System Architect",NJ,72658.04282297207,61435.19543451113,1,1,1,0,1,0
146,146,"Sr. Manager/Associate Director - Analytics Consulting (CPG, Marketing Analytics)",NJ,97608.26990288109,70500.45201682804,0,0,0,0,0,0
147,147,Assessment and Analytics Manager,OR,62500.0,73400.0,1,0,0,0,0,0
148,148,Financial Risk Analyst I/II (Credit Risk & Data Science),VA,91000.0,146300.0,1,0,0,1,0,0
149,149,Data Visualization Developer Expert | Work from Home!,VA,80000.0,115000.0,1,0,0,1,0,0
150,150,Jr. Data Scientist,VA,144282.22393267226,-34497.11733923756,1,1,1,0,1,0
151,151,Data Visualization Developer Expert | Work from Home!,VA,80000.0,115000.0,1,0,0,1,0,0
152,152,Atmospheric Science Data Center Group Lead,VA,80000.0,135000.0,0,0,0,0,0,0
153,153,Software Developer - (Data Scientist),VA,190000.0,40010.93352555855,1,0,0,0,0,1
154,154,"Imagery Analyst, Senior",VA,73100.0,166000.0,0,0,0,0,0,0
155,155,"Principal Software Engineer, Machine Learning Engineering",VA,101753.72245061114,7174.4027854794185,1,1,0,0,0,0
156,156,Junior Data Engineer (TS SCI with CI Poly Required),VA,123874.03412943543,101775.90348080205,0,0,0,0,0,0
157,157,"Tech Excellence Data Scientist, Junior",OK,58300.0,133000.0,1,0,0,1,0,0
158,158,Senior Manager - Data Analytics and Insights,RI,181096.84471078194,20258.40547656794,0,0,0,1,0,0
159,159,"Data Science Manager (@Remote Bellevue, Washington)",WA,199000.0,270000.0,1,0,0,1,0,0
160,160,Senior Applied Scientist,WA,136000.0,88719.56318276594,1,1,1,0,0,0
161,161,Sr. Data Scientist – Digital Marketing,WA,91700.0,171300.0,1,0,0,1,0,0
162,162,"Principal Engineer, On Device Machine Learning Frameworks",WA,271000.0,36807.824407446285,0,0,0,0,0,0
163,163,"Research Scientist, Fundamental Computer Vision",WA,173000.0,241000.0,1,0,1,0,0,0
164,164,"ISE, Special Projects - Sr. Machine Learning Engineer",WA,75599.64907045223,-19291.260783189027,1,0,1,0,0,0
165,165,Senior Machine Learning Scientist - Search & Recommendations,WA,138000.0,222000.0,1,1,1,0,0,0
166,166,AIML - Speech Synthesis Machine Learning Engineer,WA,114165.42840598272,70724.39014057603,1,0,1,0,0,0
167,167,Data Scientist,CT,115396.10005850304,61776.393230159556,1,0,0,1,0,0
168,168,Senior Machine Learning Engineer,CT,150000.0,200000.0,1,0,0,1,0,0
169,169,"Senior Software Engineer, Data Engineering",CT,68300.0,140000.0,1,1,1,1,1,1
170,170,Consumer & Community Bank - Data and Analytics - Machine Learning & Intelligence Operation Team - Data Scientist Senior Associate,DE,139378.56602255453,48639.12150288747,1,0,0,1,0,0
171,171,Senior Data Scientist,AZ,67496.0,103168.0,1,0,0,0,0,0
172,172,Junior Marketing Research Analyst,AZ,153886.26455557573,90886.35254155529,0,0,0,0,0,0
173,173,Senior Data Science Analyst,AZ,94000.0,132000.0,1,0,0,1,0,0
174,174,"Assistant Director 3, Business Analytics",UT,85000.0,95000.0,0,0,0,1,0,0
175,175,Data Scientist,TN,61125.93772240216,-17628.008344804613,1,0,0,1,0,0
176,176,Statistical Programmer,TN,80300.0,133900.0,0,0,0,0,0,0
177,177,"Senior Backend Engineer, AI",TN,150000.0,190000.0,0,0,0,0,0,0
178,178,Rotational Data Scientist I / Data Scientist II,NV,63045.0,116064.0,1,0,0,0,0,0
179,179,Labs - Data Scientist - Senior Associate,NV,111509.63872233393,44332.64777307148,1,1,1,1,1,0
180,180,Director/Associate Director - Data Science (Neuroscience),MA,192000.0,288000.0,1,0,0,0,0,0
181,181,Machine Learning Analyst,MA,178519.1567498363,50475.556323006414,1,0,0,0,0,0
182,182,Data Engineer & Analyst,MA,80000.0,79698.17918496985,1,0,0,1,0,0
183,183,Senior Data Engineer,MA,120916.8022072942,19466.32987372506,1,1,0,1,1,0
184,184,"VP, Head of Data Science and Systems Biology",MA,161553.26788188098,-2109.7674895128366,0,0,0,0,0,0
185,185,Clinical SAS Programmer,MA,91740.81298612835,-63201.37590548935,0,0,0,0,0,0
186,186,Deep Learning (AI) Lead,MA,150860.55229859875,134099.2915572074,0,0,0,0,0,0
187,187,Research Engineer Machine Learning,MA,169222.20020599526,43165.97145848754,1,0,0,0,0,0
188,188,Sr Bioinformatics Platform Engineer,MA,140642.9594640999,-18473.82356751353,0,0,0,0,0,0
189,189,Analytics Engagement Lead,MA,137976.4182802346,15511.995630290643,0,0,0,1,0,0
